model,analysis,field_set,set_size,cases_covered,pct_of_eligible
STRICT,single_field,ACTIVE_PID,1,0,0.0
STRICT,single_field,ACTIVE_WINDOW_IDENTITY,1,0,0.0
STRICT,single_field,AGENT_WRITTEN_CODE_LINEAGE,1,0,0.0
STRICT,single_field,BROWSER_TAB_ID,1,0,0.0
STRICT,single_field,BROWSER_URL,1,0,0.0
STRICT,single_field,CAPTURE_REGION,1,0,0.0
STRICT,single_field,CAPTURE_TRIGGER_ACTION_ID,1,0,0.0
STRICT,single_field,COMMAND_LINE,1,0,0.0
STRICT,single_field,CONTENT_HASH,1,0,0.0
STRICT,single_field,DOCUMENT_INSTANCE_ID,1,0,0.0
STRICT,single_field,PROCESS_LIFECYCLE_AT_CAPTURE,1,0,0.0
STRICT,single_field,PROCESS_START_IDENTITY,1,0,0.0
STRICT,single_field,TARGET_APPLICATION_IDENTITY,1,0,0.0
STRICT,single_field,VISIBLE_WINDOW_SET,1,0,0.0
STRICT,single_field,WINDOW_GEOMETRY,1,0,0.0
STRICT,single_field,WINDOW_TITLE,1,0,0.0
STRICT,single_field,WM_CLASS,1,0,0.0
STRICT,single_field,Z_ORDER,1,0,0.0
STRICT,greedy_cumulative,CAPTURE_REGION|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER,4,240,83.6
STRICT,greedy_cumulative,CAPTURE_REGION|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER|PROCESS_LIFECYCLE_AT_CAPTURE|PROCESS_START_IDENTITY,6,259,90.2
STRICT,greedy_cumulative,CAPTURE_REGION|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER|PROCESS_LIFECYCLE_AT_CAPTURE|PROCESS_START_IDENTITY|ACTIVE_PID|ACTIVE_WINDOW_IDENTITY,8,286,99.7
STRICT,optimal_bruteforce,ACTIVE_PID,1,0,0.0
STRICT,optimal_bruteforce,PROCESS_LIFECYCLE_AT_CAPTURE|PROCESS_START_IDENTITY,2,36,12.5
STRICT,optimal_bruteforce,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|PROCESS_LIFECYCLE_AT_CAPTURE,3,76,26.5
STRICT,optimal_bruteforce,CAPTURE_REGION|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER,4,240,83.6
STRICT,optimal_bruteforce,ACTIVE_PID|CAPTURE_REGION|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER,5,240,83.6
STRICT,optimal_bruteforce,CAPTURE_REGION|PROCESS_LIFECYCLE_AT_CAPTURE|PROCESS_START_IDENTITY|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER,6,259,90.2
STRICT,optimal_bruteforce,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|CAPTURE_REGION|PROCESS_LIFECYCLE_AT_CAPTURE|VISIBLE_WINDOW_SET|WINDOW_GEOMETRY|Z_ORDER,7,267,93.0
LENIENT,single_field,BROWSER_URL,1,25,8.7
LENIENT,single_field,ACTIVE_PID,1,0,0.0
LENIENT,single_field,ACTIVE_WINDOW_IDENTITY,1,0,0.0
LENIENT,single_field,AGENT_WRITTEN_CODE_LINEAGE,1,0,0.0
LENIENT,single_field,BROWSER_TAB_ID,1,0,0.0
LENIENT,single_field,CAPTURE_REGION,1,0,0.0
LENIENT,single_field,CAPTURE_TRIGGER_ACTION_ID,1,0,0.0
LENIENT,single_field,COMMAND_LINE,1,0,0.0
LENIENT,single_field,CONTENT_HASH,1,0,0.0
LENIENT,single_field,DOCUMENT_INSTANCE_ID,1,0,0.0
LENIENT,single_field,PROCESS_LIFECYCLE_AT_CAPTURE,1,0,0.0
LENIENT,single_field,PROCESS_START_IDENTITY,1,0,0.0
LENIENT,single_field,TARGET_APPLICATION_IDENTITY,1,0,0.0
LENIENT,single_field,VISIBLE_WINDOW_SET,1,0,0.0
LENIENT,single_field,WINDOW_GEOMETRY,1,0,0.0
LENIENT,single_field,WINDOW_TITLE,1,0,0.0
LENIENT,single_field,WM_CLASS,1,0,0.0
LENIENT,single_field,Z_ORDER,1,0,0.0
LENIENT,greedy_cumulative,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|CAPTURE_REGION,3,208,72.5
LENIENT,greedy_cumulative,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|CAPTURE_REGION|DOCUMENT_INSTANCE_ID,4,249,86.8
LENIENT,greedy_cumulative,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|CAPTURE_REGION|DOCUMENT_INSTANCE_ID|BROWSER_URL,5,274,95.5
LENIENT,greedy_cumulative,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|CAPTURE_REGION|DOCUMENT_INSTANCE_ID|BROWSER_URL|COMMAND_LINE,6,285,99.3
LENIENT,greedy_cumulative,ACTIVE_PID|ACTIVE_WINDOW_IDENTITY|CAPTURE_REGION|DOCUMENT_INSTANCE_ID|BROWSER_URL|COMMAND_LINE|Z_ORDER,7,286,99.7
LENIENT,optimal_bruteforce,BROWSER_URL,1,25,8.7
