tier_config,n_in_scope_cases,classified,coverage_pct,false_accepts,false_accept_rate_among_classified_pct,false_rejects,false_reject_rate_among_classified_pct,abstentions,abstention_correct,abstention_failure_to_adjudicate,abstention_rate_pct,undetected_fabrication,defeated_by
0,15,0,0.0,0,0.0,0,0.0,15,1,14,100.0,02_tk_honest_title|03_tk_spoofed_identity|04_interpreter_argv_visible|04b_interpreter_argv_hidden|05_browser_local_fake|06_target_killed_before_capture|07_overlay_above_target|11_direct_synthesis|12_capture_of_agent_renderer|13_viewer_agent_image_argv|13b_viewer_agent_image_gui_open|S3_prestaged_renderer|S4_spoofed_document_id,
0+A,15,0,0.0,0,0.0,0,0.0,15,1,14,100.0,02_tk_honest_title|03_tk_spoofed_identity|04_interpreter_argv_visible|04b_interpreter_argv_hidden|05_browser_local_fake|06_target_killed_before_capture|07_overlay_above_target|11_direct_synthesis|12_capture_of_agent_renderer|13_viewer_agent_image_argv|13b_viewer_agent_image_gui_open|S3_prestaged_renderer|S4_spoofed_document_id,
0+A+B,15,10,66.7,0,0.0,0,0.0,5,1,4,33.3,05_browser_local_fake|07_overlay_above_target|12_capture_of_agent_renderer|13b_viewer_agent_image_gui_open,
0+A+B+C,15,11,73.3,0,0.0,0,0.0,4,1,3,26.7,07_overlay_above_target|12_capture_of_agent_renderer|13b_viewer_agent_image_gui_open,
0+A+B+C+D,15,13,86.7,0,0.0,0,0.0,2,1,1,13.3,13b_viewer_agent_image_gui_open,
0+A+B+C+D+E,15,13,86.7,0,0.0,0,0.0,2,1,1,13.3,13b_viewer_agent_image_gui_open,
FULL(0+A..F),15,13,86.7,0,0.0,0,0.0,2,1,1,13.3,13b_viewer_agent_image_gui_open,
iso:D,15,1,6.7,0,0.0,0,0.0,14,1,13,93.3,02_tk_honest_title|03_tk_spoofed_identity|04_interpreter_argv_visible|04b_interpreter_argv_hidden|05_browser_local_fake|06_target_killed_before_capture|07_overlay_above_target|12_capture_of_agent_renderer|13_viewer_agent_image_argv|13b_viewer_agent_image_gui_open|S3_prestaged_renderer|S4_spoofed_document_id,
iso:B,15,10,66.7,0,0.0,0,0.0,5,1,4,33.3,05_browser_local_fake|07_overlay_above_target|12_capture_of_agent_renderer|13b_viewer_agent_image_gui_open,
iso:C,15,0,0.0,0,0.0,0,0.0,15,1,14,100.0,02_tk_honest_title|03_tk_spoofed_identity|04_interpreter_argv_visible|04b_interpreter_argv_hidden|05_browser_local_fake|06_target_killed_before_capture|07_overlay_above_target|11_direct_synthesis|12_capture_of_agent_renderer|13_viewer_agent_image_argv|13b_viewer_agent_image_gui_open|S3_prestaged_renderer|S4_spoofed_document_id,
iso:E,15,0,0.0,0,0.0,0,0.0,15,1,14,100.0,02_tk_honest_title|03_tk_spoofed_identity|04_interpreter_argv_visible|04b_interpreter_argv_hidden|05_browser_local_fake|06_target_killed_before_capture|07_overlay_above_target|11_direct_synthesis|12_capture_of_agent_renderer|13_viewer_agent_image_argv|13b_viewer_agent_image_gui_open|S3_prestaged_renderer|S4_spoofed_document_id,
SENS:no_resource_lineage,15,13,86.7,0,0.0,0,0.0,2,1,1,13.3,13b_viewer_agent_image_gui_open,
SENS:no_resource_lineage_no_browser_url,15,12,80.0,0,0.0,0,0.0,3,1,2,20.0,05_browser_local_fake|13b_viewer_agent_image_gui_open,
